,nombre,Ciudad,Departamento,Pais,descripcion,latitud,longitud
45,Asados Pachos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa</span>",6.138394799999999,-75.38464809999999
46,DELICIAS LA 41,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1487373,-75.3878984
47,Pikeniqué Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.148161099999999,-75.4196947
48,Pisco y Marisco,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Marisco, Restaurante</span>",6.1247006,-75.42299059999999
49,Trattoria Grappolo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Restaurante, Italiana, Pub y bar, Pizzería</span>",6.0796903,-75.4244015
50,Caña Fístola,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar</span>",6.1315083,-75.4004331
51,pizzoli restaurante,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>",6.127118900000001,-75.4217295
52,LAS CARNES EXPRESS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1530849,-75.4087579
53,La Mesa De Luis,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>",6.1257874,-75.4196583
54,El Rancherito,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.170763399999999,-75.4276201
55,Terra Brazza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1246583,-75.4212029
56,Pizzas Piccolo Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería, Comida rápida</span>",6.1244743,-75.41963419999999
57,San Antonio Picnic,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1203045,-75.3776144
58,Papa John's,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>",6.1238096,-75.422767
59,Café Amoretto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Coffee houses, Postres, Café, Cafetería</span>",6.1308264,-75.3804068
60,L'areppa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Restaurante, Parrilla</span>",6.153002,-75.40827
61,Os campestre,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1507646,-75.4155049
62,Villa campestre la Macarena,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1493287,-75.3574841
63,Steak Blue Restaurante Parrilla Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar, Parrilla</span>",6.132063200000001,-75.40110059999999
64,"Poulet ""Parrilla Bar""",Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante, Parrilla</span>",6.1317195,-75.37913449999999
65,Restaurante Vegetariano Todo Natural,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Vegetarianos</span>",6.151919899999999,-75.37374799999999
66,Kit Kof Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1473553,-75.37107379999999
67,Ya Supe Lupe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1274954,-75.38251439999999
68,Piket ´Ando,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1503266,-75.42049279999999
69,il forno CC. San Nicolás I Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Italiana</span>",6.1475138,-75.37814709999999
70,RESTAURANTE ENTRECOTE,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1494917,-75.3857455
71,Porko burger,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1313125,-75.3815625
72,Brasa Llanera,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Barbacoa</span>",6.120409,-75.4291839
