nombre,Ciudad,Departamento,Pais,descripcion
Papa John's,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>"
Café Amoretto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Coffee houses, Postres, Café, Cafetería</span>"
L'areppa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Restaurante, Parrilla</span>"
Os campestre,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Villa campestre la Macarena,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Steak Blue Restaurante Parrilla Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar, Parrilla</span>"
"Poulet ""Parrilla Bar""",Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante, Parrilla</span>"
Restaurante Vegetariano Todo Natural,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Vegetarianos</span>"
Kit Kof Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Ya Supe Lupe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Piket ´Ando,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
il forno CC. San Nicolás I Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Italiana</span>"
RESTAURANTE ENTRECOTE,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Porko burger,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Brasa Llanera,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Barbacoa</span>"
M&R Ricuras Venezolanas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Matajo Burger,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Pollos Llanogrande Al Carbón,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>"
Domino's Pizza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>"
Supermercado Panorama,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
fior di latte helado y cafe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Cafetería</span>"
