nombre,Ciudad,Departamento,Pais,Descripcion,latitud,longitud
J&N Burger,Rionegro,Antioquia,Colombia, Restaurante,6.1491615,-75.3681083
La badea,Rionegro,Antioquia,Colombia, Restaurante,6.1599195,-75.3723837
Gurban,Rionegro,Antioquia,Colombia, Restaurante,6.1281156,-75.3817037
Piketeando,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1504002,-75.4204661
Don Gatto pizzería arte bar,Rionegro,Antioquia,Colombia," Pizzería, Pub y bar, Restaurante",6.1514,-75.3734066
Bon Appetit Gourmet,Rionegro,Antioquia,Colombia, Restaurante,6.1425021,-75.3789898
Mi Llano del Alma,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1318522,-75.4002975
Tierra Viva - Natural y Orgánico. Restaurante.,Rionegro,Antioquia,Colombia, Restaurante,6.1219319,-75.3876632
La fondita aquella,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa, Pub y bar",6.1278287,-75.4157505
Bistro Paisa,Rionegro,Antioquia,Colombia, Comida rápida,6.1539794,-75.3726221
El Merendero,Rionegro,Antioquia,Colombia, Restaurante,6.1311968,-75.3815616
Luis Pasta y Pizza Restaurante,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1255847,-75.4195353
Cocina De Dalila Parrilla Bar,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante, Parrilla",6.1511911,-75.4155549
El Cartel De Las Empanadas,Rionegro,Antioquia,Colombia, Restaurante,6.1492502,-75.3860341
Bella Pasta - Llanogrande,Rionegro,Antioquia,Colombia," Restaurante, Italiana",6.125134,-75.4230838
Pepitos,Rionegro,Antioquia,Colombia, Restaurante,6.1533007,-75.3639448
Anitahumados,Rionegro,Antioquia,Colombia, Restaurante,6.1330287,-75.4068472
Del Anca Rodizio Parrilla Bar,Rionegro,Antioquia,Colombia," Restaurante, Parrilla, Pub y bar",6.165027,-75.3738234
Restaurante La Fortaleza,Rionegro,Antioquia,Colombia," Restaurante, Café",6.1585381,-75.3706935
Mirador Nuquí,Rionegro,Antioquia,Colombia," Marisco, Restaurante, Pub y bar",6.1652836,-75.4115332
Restaurante y Parrilla Dora,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1299157,-75.3811054
Charcutería Jn,Rionegro,Antioquia,Colombia, Restaurante,6.152373,-75.374705
Qsollados,Rionegro,Antioquia,Colombia, Restaurante,6.1480008,-75.3861219
Malibú,Rionegro,Antioquia,Colombia, Restaurante,6.1501352,-75.3954286
Latín sushi,Rionegro,Antioquia,Colombia," Sushi, Restaurante, China",6.1278701,-75.3814105
Kokoriko Aeropuerto Rionegro,Rionegro,Antioquia,Colombia, Restaurante,6.17097,-75.4280344
Pizza Express el porvenir,Rionegro,Antioquia,Colombia, Pizzería,6.1487066,-75.3904088
Pappas express,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1488895,-75.3880795
Zona 46 Fast Food,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1494223,-75.3673938
Mister Arepa,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1539532,-75.3727453
Loro's PIZZA,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Comida rápida",6.1298137,-75.3814526
Naturals,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa, Comida rápida, Pub y bar",6.1539047,-75.3731552
chippers_gourmet,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1387863,-75.3792264
Café Guadalupe,Rionegro,Antioquia,Colombia," Restaurante, Coffee houses, Vegetarianos, Café, Pub y bar",6.1547241,-75.3731382
Salvajadas de mi tierra,Rionegro,Antioquia,Colombia, Restaurante,6.1468444,-75.3864214
Licorería La María,Rionegro,Antioquia,Colombia, Restaurante,6.147538,-75.387858
Comidas Rápidas Sabor Caleño,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.149309,-75.38612
Asadero Rapi Pollo,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.152024,-75.3744
Empanadas Rosita,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1550779,-75.373977
Restaurante La Fortuna,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1532,-75.372615
Piqueteadero Oriental,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.153801,-75.375434
Calanchos Dog Rionegro,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1556115,-75.3742397
"Coma en Joes , Comida Típica Venezolana",Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1433677,-75.3730599
Paninos Sandwich & Cazuela,Rionegro,Antioquia,Colombia, Restaurante,6.1246644,-75.4231096
Asados El Chato,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1557474,-75.3654371
Comidas Rapidas El Llanito,Rionegro,Antioquia,Colombia, Restaurante,6.1500132,-75.3954829
Andito’s BBQ,Rionegro,Antioquia,Colombia," Marisco, Barbacoa, Restaurante",6.1383369,-75.3850821
El Potero Estadero Bar,Rionegro,Antioquia,Colombia," Pub y bar, Barbacoa",6.1295742,-75.3807261
Arepas Alzarate,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1530712,-75.3742985
Licores Oriente,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar, Barbacoa",6.1293724,-75.3798537
Santorini - Pizzeria Bar Llanogrande,Rionegro,Antioquia,Colombia, Italiana,6.1538133,-75.4359649
Mas pizza Express,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Italiana",6.1298137,-75.3814526
The Fries,Rionegro,Antioquia,Colombia," Mexicana, Restaurante, Comida rápida",6.1274995,-75.3822598
Asados Y Parrilla La Cabana,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1284241,-75.3813566
heladeria la mansarda,Rionegro,Antioquia,Colombia, Café,6.1543498,-75.3724874
Mendell,Rionegro,Antioquia,Colombia," Vegetarianos, Restaurante",6.1490188,-75.3789523
Don Gatto,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Comida rápida",6.1514,-75.3734066
Presto,Rionegro,Antioquia,Colombia, Restaurante,6.170561,-75.4271936
Bar Centro Rionegro,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.152682,-75.3737699
Licorería Edival,Rionegro,Antioquia,Colombia, Restaurante,6.150571,-75.393481
Granero La Campanita,Rionegro,Antioquia,Colombia, Restaurante,6.1518228,-75.3772255
Restaurante San Remo,Rionegro,Antioquia,Colombia, Restaurante,6.147693,-75.38678
Supermercado Distrijara,Rionegro,Antioquia,Colombia, Restaurante,6.1473621,-75.3869394
Lubiexpress,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1600254,-75.3727092
Papagayo Restaurante,Rionegro,Antioquia,Colombia, Restaurante,6.1305186,-75.4120778
Brosty combos,Rionegro,Antioquia,Colombia, Restaurante,6.1580154,-75.3726444
"PESCAMOR Pescados, mariscos y carnes",Rionegro,Antioquia,Colombia, Restaurante,6.1274383,-75.4162875
Arepas De Queso LOS PITUFOS,Rionegro,Antioquia,Colombia, Restaurante,6.152765,-75.3634402
Al Mar y algo mas,Rionegro,Antioquia,Colombia, Restaurante,6.1553706,-75.3727797
Tu antojo del sabor venezolano,Rionegro,Antioquia,Colombia, Restaurante,6.1499753,-75.3928506
Tribal Park Llanogrande,Rionegro,Antioquia,Colombia, Restaurante,6.1270848,-75.422305
RAMÉ Resto & Coffee,Rionegro,Antioquia,Colombia," Coffee houses, Restaurante, Café",6.1318161,-75.3791553
La Paella de Pedro Palmer,Rionegro,Antioquia,Colombia, Restaurante,6.125303,-75.4234087
Carpanta Food,Rionegro,Antioquia,Colombia, Restaurante,6.1490188,-75.3789523
Comida Rápidas ricuras rionegro,Rionegro,Antioquia,Colombia, Restaurante,6.1304063,-75.3813262
Discoteca Asados Fonda La Gotera,Rionegro,Antioquia,Colombia," Club, Restaurante, Comida rápida",6.129735,-75.3805129
Don de Queso,Rionegro,Antioquia,Colombia," Coffee houses, Restaurante, Café",6.146441,-75.3800293
Comidas Rápidas La Fogata,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1522985,-75.3733236
Empanadas Doña Juana,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.154219,-75.372685
La Paisita Empanadas Y Arepas,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1530712,-75.3742985
A la Parrilla,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante, Parrilla",6.165027,-75.3738234
Restaurante El Buen Gusto,Rionegro,Antioquia,Colombia, Restaurante,6.1542144,-75.3705052
Restaurante Rancho LLanogrande,Rionegro,Antioquia,Colombia, Restaurante,6.133463,-75.4283735
"La Mega, Comidas & Bebidas.",Rionegro,Antioquia,Colombia, Restaurante,6.140014,-75.3726082
Donde Chulo,Rionegro,Antioquia,Colombia, Restaurante,6.1574765,-75.3735109
Taco mex,Rionegro,Antioquia,Colombia, Restaurante,6.1315898,-75.4008799
Restaurante el Rancho del Gordo,Rionegro,Antioquia,Colombia, Restaurante,6.1532166,-75.3742401
"Asados ""A 3 Cu4rtos""",Rionegro,Antioquia,Colombia, Restaurante,6.1482885,-75.3867329
Bar La Bomba,Rionegro,Antioquia,Colombia, Pub y bar,6.151343,-75.38499
Restaurante El Campesino,Rionegro,Antioquia,Colombia, Restaurante,6.1579119,-75.371203
Bar Búfalo,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.129188,-75.380044
Restaurante La Dama Juana,Rionegro,Antioquia,Colombia, Restaurante,6.1412,-75.377268
La Cocina de Dulcinea,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar, Barbacoa",6.1490188,-75.3789523
Restaurante Sazón Al Toque,Rionegro,Antioquia,Colombia, Restaurante,6.129834,-75.381397
Restaurante Dary,Rionegro,Antioquia,Colombia, Restaurante,6.1524221,-75.3724256
Cafetería Restaurante los Tráiler,Rionegro,Antioquia,Colombia, Restaurante,6.1412642,-75.3770093
Derek panadería artesanal,Rionegro,Antioquia,Colombia, Restaurante,6.0932211,-75.3328299
Dondechepaparillabar,Rionegro,Antioquia,Colombia, Restaurante,6.1387863,-75.3792264
Santa Leña - Jardines de Llanogrande,Rionegro,Antioquia,Colombia, Restaurante,6.1242945,-75.4210996
Alitas Rellenas de San Antonio,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1295273,-75.3799951
Pizzas J&G Llanogrande,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1230025,-75.420874
Di llanos Pizzería Rionegro,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1304374,-75.38129
Donde Rubi Rionegro,Rionegro,Antioquia,Colombia, Restaurante,6.1587708,-75.3679631
restaurante-parrilla Delight steak house,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1208342,-75.3776512
"Panaderia Y Comidas Rapidas LA ""47""",Rionegro,Antioquia,Colombia, Restaurante,6.152016,-75.3754518
BRASAS DE COLOMBIA,Rionegro,Antioquia,Colombia, Restaurante,6.1476101,-75.386897
Restaurante La Macarena,Rionegro,Antioquia,Colombia, Restaurante,6.1493287,-75.3574841
El blasón granja,Rionegro,Antioquia,Colombia, Restaurante,6.1077405,-75.4224567
Fonda Los Tejados,Rionegro,Antioquia,Colombia, Restaurante,6.130255,-75.380539
Restaurante El Bohío,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.154993,-75.372204
Comidas Rápidas Punto Como,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.129847,-75.380837
Heladería y frutería [Tommy Frozen Yogurt] Domicilios en Rionegro,Rionegro,Antioquia,Colombia," Cafetería, Postres",6.1526087,-75.3835142
"Hamburguesería y Restaurante ""El Paisa""",Rionegro,Antioquia,Colombia, Restaurante,6.1480008,-75.3861219
Emisora Paz de Selva Verde,Rionegro,Antioquia,Colombia, Restaurante,6.1519506,-75.3584661
TUCO GOL,Rionegro,Antioquia,Colombia, Restaurante,6.15361,-75.36156
Picante y Guacamole,Rionegro,Antioquia,Colombia, Restaurante,6.1473793,-75.3874537
Q'Delicia,Rionegro,Antioquia,Colombia, Restaurante,6.1487373,-75.3878984
Asados San Lorenzo,Rionegro,Antioquia,Colombia, Restaurante,6.1606351,-75.372882
San Paolo,Rionegro,Antioquia,Colombia, Restaurante,6.1315922,-75.4007611
Lala Sabores Alternativos,Rionegro,Antioquia,Colombia, Restaurante,6.1500759,-75.3855623
Bar Bartolomé,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.149348,-75.3860459
Bar Las Delicias,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.129025,-75.38102
Licorera El Barril,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.129626,-75.380162
Restaurante Paladares,Rionegro,Antioquia,Colombia, Restaurante,6.154416,-75.372945
Mercado Continental,Rionegro,Antioquia,Colombia, Restaurante,6.1538259,-75.374902
Supermercado El Gran Arriero,Rionegro,Antioquia,Colombia, Restaurante,6.155683,-75.368245
DÓNDE PACHO SUCURSAL RIONEGRO,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1492209,-75.3681021
La galgueria,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1307227,-75.3803249
Restaurante #3 el Familiar,Rionegro,Antioquia,Colombia, Restaurante,6.1567273,-75.3693842
Ginza roll & wok,Rionegro,Antioquia,Colombia, Sushi,6.1317079,-75.3988172
Youssef Tastes,Rionegro,Antioquia,Colombia, Restaurante,6.1287846,-75.3818073
Comida de Mar y Parrilla,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1273606,-75.3831674
KIN SUSHI BAR,Rionegro,Antioquia,Colombia," Sushi, Restaurante, Pub y bar",6.1289053,-75.3800834
The royal burger,Rionegro,Antioquia,Colombia, Restaurante,6.129006,-75.3813627
picnic on the train,Rionegro,Antioquia,Colombia, Restaurante,6.1938383,-75.3580895
Comidas Rápidas Maxi Pan Y Punto,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1567352,-75.3716461
Restaurante Riko Priko,Rionegro,Antioquia,Colombia," Marisco, Restaurante, Comida rápida",6.1468578,-75.3796381
Restaurante Rio Negro,Rionegro,Antioquia,Colombia, Restaurante,6.1535133,-75.3727321
Shawarma El Chamo,Rionegro,Antioquia,Colombia, Restaurante,6.1303964,-75.3796934
Taberna Punto,Rionegro,Antioquia,Colombia, Restaurante,6.129026,-75.380068
Taberna Bar Pa' Lo Alto,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.130291,-75.380528
Compras El Mejor Precio,Rionegro,Antioquia,Colombia, Restaurante,6.156825,-75.370912
.,Rionegro,Antioquia,Colombia," Restaurante, China",6.1490188,-75.3789523
Restaurante - Bar Mis Caprichos,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1257448,-75.4191671
Palmavilla Llanogrande,Rionegro,Antioquia,Colombia, Restaurante,6.1273932,-75.4158236
Las Ricuras De La Abuela,Rionegro,Antioquia,Colombia, Restaurante,6.1251663,-75.4220197
La Taqueria,Rionegro,Antioquia,Colombia, Restaurante,6.1462021,-75.3793792
Pizzería Mansarda,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Comida rápida",6.154454,-75.372541
Wings Station,Rionegro,Antioquia,Colombia, Restaurante,6.1366215,-75.3893084
The Celler,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1474918,-75.3785739
Licorería Liquor Blue,Rionegro,Antioquia,Colombia, Restaurante,6.149115,-75.386184
Restaurante La Finca,Rionegro,Antioquia,Colombia, Restaurante,6.158934,-75.369716
LE'MIAN HandRoll's,Rionegro,Antioquia,Colombia," Sushi, Restaurante",6.146464,-75.3886681
Alan's Pizza,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1821392,-75.3915773
Los Totos,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1288747,-75.381695
El mirador de jimmy,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1852206,-75.4088766
LA HAMBURGUESERÍA ARTESANAL,Rionegro,Antioquia,Colombia, Restaurante,6.1559316,-75.3761883
Sushi Market,Rionegro,Antioquia,Colombia," Restaurante, Sushi",6.1228565,-75.4253754
Di cappella restaurante italiano,Rionegro,Antioquia,Colombia," Restaurante, Italiana",6.1312578,-75.399262
D'burgers,Rionegro,Antioquia,Colombia, Restaurante,6.1311378,-75.3802828
Il Forno Colombia,Rionegro,Antioquia,Colombia," Restaurante, Italiana",6.1475138,-75.3781471
Mar y Fuego,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.136922,-75.3911333
Mezza Pizza,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Comida rápida",6.1469762,-75.3796354
Comida Rápida San Antonio Papitas,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.129383,-75.38002
Comidas Rápidas Trigo Mar,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.157705,-75.370586
Brosty Asados,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.153309,-75.374844
Comidas El Bizcocho,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.155422,-75.372123
Ópera Pizza,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Comida rápida",6.151459,-75.373485
Restaurante San Miguel,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.154656,-75.373209
Como Caído del Cielo,Rionegro,Antioquia,Colombia, Restaurante,6.1403288,-75.3787746
Elidelicias,Rionegro,Antioquia,Colombia, Restaurante,6.1497866,-75.3853971
Restaurante Ebano,Rionegro,Antioquia,Colombia, Restaurante,6.1726144,-75.4354965
Cafeteria Yrestaurante Laureles,Rionegro,Antioquia,Colombia," Restaurante, Cafetería",6.1589929,-75.3723002
Restaurante La Casita de Pola,Rionegro,Antioquia,Colombia, Restaurante,6.1487382,-75.3903615
LOS VERDES DE RIONEGRO,Rionegro,Antioquia,Colombia, Restaurante,6.1477123,-75.3787403
360 Rio Sabor Restaurante,Rionegro,Antioquia,Colombia, Restaurante,6.1647152,-75.3738815
LA TAQUERIA MEXICAN FOOD,Rionegro,Antioquia,Colombia," Mexicana, Restaurante",6.1311818,-75.3987551
Santa Leña,Rionegro,Antioquia,Colombia, Restaurante,6.1242945,-75.4210996
Restaurante la Ruta,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1421795,-75.3730831
Cuatrimoteando Rionegro,Rionegro,Antioquia,Colombia, Restaurante,6.1502506,-75.4196684
La Pizzerìa,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1484054,-75.3864557
Restaurante Bar Noa Noa,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.128742,-75.3797688
Restaurante el buen gusto,Rionegro,Antioquia,Colombia, Restaurante,6.1542144,-75.3705052
Paninos Llanogrande - Antioquia.,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.1246644,-75.4231096
Mr. Bruno Hot dogs,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1382876,-75.3849659
Las Mil y una noches Llanogrande,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1279469,-75.3820088
Delicias Niña Fanny,Rionegro,Antioquia,Colombia, Restaurante,6.1481199,-75.396175
Filipino Food,Rionegro,Antioquia,Colombia, Restaurante,6.1680459,-75.3371134
Pataconiando Rionegro,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1501226,-75.3930594
La Gaufrette,Rionegro,Antioquia,Colombia," Postres, Restaurante",6.1510345,-75.391064
Pizza Express,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1298137,-75.3814526
El Rancho De Juanda Uco.,Rionegro,Antioquia,Colombia, Restaurante,6.1557529,-75.375947
Comidas Rápidas Viernes,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1290639,-75.380058
Restaurante Cítrico Crossover Lounch,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.148384,-75.386465
Milán Bar Y Pizzería,Rionegro,Antioquia,Colombia," Pizzería, Pub y bar, Restaurante, Comida rápida",6.1545569,-75.373258
El Paisa Asados,Rionegro,Antioquia,Colombia, Barbacoa,6.15564,-75.373135
Asadero Brost Y Pan,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.153205,-75.37316
Paliqueso Empanada Chilena,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.153186,-75.37335
Pepitos6,Rionegro,Antioquia,Colombia, Restaurante,6.1490188,-75.3789523
Carbon & Parrilla Restaurante - Bar,Rionegro,Antioquia,Colombia," Pub y bar, Barbacoa, Restaurante, Parrilla",6.165027,-75.3738234
Piña Karaoke,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante, Pub y bar",6.1550313,-75.3739327
Supermercado Las Margaritas,Rionegro,Antioquia,Colombia, Restaurante,6.127999,-75.381908
Santa Ana Sandwich & Burguer,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1311529,-75.3813961
Mr. Bruno,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1382876,-75.3849659
Kekomo,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1490188,-75.3789523
Sector7G Drinks & Food,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante, Pub y bar",6.1535133,-75.3727321
Mar y Tierra,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.1552591,-75.3723512
PUNTO CALIENTE sazón y sabor,Rionegro,Antioquia,Colombia, Restaurante,6.1490188,-75.3789523
Mis carnes parrilla,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1797713,-75.4347313
Mar y Tierra,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.1552591,-75.3723512
STUNT FOOD,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1480008,-75.3861219
"Pasteles De Pollo, Empanadas Deliciosos.",Rionegro,Antioquia,Colombia, Restaurante,6.1859615,-75.377324
restaurante Emparepas,Rionegro,Antioquia,Colombia, Restaurante,6.1482916,-75.3864015
The Rib House By Rio Vio,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa, Pub y bar",6.1490188,-75.3789523
Barlovento PIZZA BAR,Rionegro,Antioquia,Colombia," Pub y bar, Pizzería, Restaurante",6.1568665,-75.3748042
Soccer Center,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.173581,-75.433007
The RIB House,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1368,-75.390995
Martinika,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1313072,-75.3813923
Bar Tequilazo,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.149145,-75.386913
Restaurante Rincón Típico,Rionegro,Antioquia,Colombia, Restaurante,6.157347,-75.369801
Taberna La Mulada,Rionegro,Antioquia,Colombia, Restaurante,6.152827,-75.363454
Restaurante Las Acacias,Rionegro,Antioquia,Colombia, Restaurante,6.153893,-75.37529
Restaurante La Terminal,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.151178,-75.373152
Restaurante El Diamante,Rionegro,Antioquia,Colombia, Restaurante,6.158449,-75.370752
Granero Tres Esquinas El Pelón,Rionegro,Antioquia,Colombia, Restaurante,6.1521039,-75.377857
Maqui,Rionegro,Antioquia,Colombia, Restaurante,6.1533534,-75.3705605
Brasas y brosty,Rionegro,Antioquia,Colombia, Restaurante,6.1540201,-75.3744349
Restaurante El Único,Rionegro,Antioquia,Colombia, Restaurante,6.1589488,-75.3697568
La Maizalera,Rionegro,Antioquia,Colombia, Restaurante,6.1489249,-75.3865507
Dulce parrilla,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1478139,-75.3827952
Antojería Burger and Beer,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1253799,-75.4233624
Deli Alitas Express Rionegro,Rionegro,Antioquia,Colombia, Restaurante,6.1490472,-75.3880401
Herrero restaurante,Rionegro,Antioquia,Colombia, Restaurante,6.1268666,-75.4216875
4&CO by Los Valles Deshidratados,Rionegro,Antioquia,Colombia, Restaurante,6.1309692,-75.3988178
Sabrosuras del Mar,Rionegro,Antioquia,Colombia, Restaurante,6.1538514,-75.3739511
World Famous BBQ Smoken Ribs,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1368,-75.390995
Huellas paisas,Rionegro,Antioquia,Colombia, Restaurante,6.150497,-75.3921048
Templo de los Ricos Pasteles,Rionegro,Antioquia,Colombia, Restaurante,6.1491871,-75.3860593
Restaurante Ahora Pollo,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.155214,-75.37212
Restaurante Ricuras de La 47,Rionegro,Antioquia,Colombia, Restaurante,6.152101,-75.374099
Charcutería La Esquina,Rionegro,Antioquia,Colombia, Restaurante,6.1258551,-75.4197787
Restaurante Maná,Rionegro,Antioquia,Colombia, Restaurante,6.154775,-75.370644
Restaurante Don Tomás,Rionegro,Antioquia,Colombia, Restaurante,6.157018,-75.370139
Bar Córdoba,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1544169,-75.374216
Comidas Club Social Torremolino,Rionegro,Antioquia,Colombia," Club, Restaurante",6.154796,-75.374046
Bar Bilbao,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1484759,-75.386346
Bar V 5to,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.129133,-75.380055
Bar Drinks And More,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.129275,-75.380038
Bar Club Social Géminis,Rionegro,Antioquia,Colombia," Pub y bar, Club, Restaurante",6.1478,-75.3866479
Granero El Planito,Rionegro,Antioquia,Colombia, Restaurante,6.150022,-75.395779
Licorería La Favorita,Rionegro,Antioquia,Colombia, Restaurante,6.156035,-75.371253
Carnicería Gusto Carnes,Rionegro,Antioquia,Colombia, Restaurante,6.1278309,-75.382296
Compras El Revolcón Distri,Rionegro,Antioquia,Colombia, Restaurante,6.155964,-75.370624
Bar Equinoccio,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.155109,-75.373961
Bar Centro Social La Caponera,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.153532,-75.375338
Donde Julio,Rionegro,Antioquia,Colombia, Restaurante,6.1550494,-75.3732139
ORIGAMI SUSHI,Rionegro,Antioquia,Colombia," Sushi, Restaurante",6.1644376,-75.3688291
So Happy Más,Rionegro,Antioquia,Colombia, Restaurante,6.1471325,-75.3779047
Ramirez Arana Catering,Rionegro,Antioquia,Colombia, Restaurante,6.1755858,-75.4281127
Backenballs,Rionegro,Antioquia,Colombia, Restaurante,6.1530607,-75.373882
Sabor latino,Rionegro,Antioquia,Colombia, Restaurante,6.1500759,-75.3855623
La Wafflera San Antonio,Rionegro,Antioquia,Colombia, Restaurante,6.1300956,-75.3805821
Wild Wings & Co,Rionegro,Antioquia,Colombia, Restaurante,6.1311812,-75.3989734
Kokoriko C.C. San Nicolás,Rionegro,Antioquia,Colombia, Restaurante,6.147104,-75.3783109
Time Out Sports Bar,Rionegro,Antioquia,Colombia, Pub y bar,6.172836,-75.5869637
"Pike Pizzeria, Cocina Italiana.",Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Italiana",6.1274188,-75.3825872
Restaurante El Potrero,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1295742,-75.3807261
Frutinal S.A.S,Rionegro,Antioquia,Colombia, Restaurante,6.1881571,-75.5798404
Bistro Paisa,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1539794,-75.3726221
Counter Culture,Rionegro,Antioquia,Colombia, Restaurante,6.1320559,-75.3996474
Anditos BBQ (Authentic Southern BBQ),Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1383369,-75.3850821
The Burger Company,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1480008,-75.3861219
