nombre,Ciudad,Departamento,Pais,Descripcion,latitud,longitud
Villa campestre la Macarena,Rionegro,Antioquia,Colombia, Restaurante,6.1493287,-75.3574841
Steak Blue Restaurante Parrilla Bar,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar, Parrilla",6.1320632,-75.4011006
"Poulet ""Parrilla Bar""",Rionegro,Antioquia,Colombia," Pub y bar, Restaurante, Parrilla",6.1317195,-75.3791345
Restaurante Vegetariano Todo Natural,Rionegro,Antioquia,Colombia," Restaurante, Vegetarianos",6.1519199,-75.373748
Kit Kof Rionegro,Rionegro,Antioquia,Colombia, Restaurante,6.1473553,-75.3710738
Ya Supe Lupe,Rionegro,Antioquia,Colombia, Restaurante,6.1274954,-75.3825144
Piket ´Ando,Rionegro,Antioquia,Colombia, Restaurante,6.1503266,-75.4204928
il forno CC. San Nicolás I Rionegro,Rionegro,Antioquia,Colombia," Restaurante, Italiana",6.1475138,-75.3781471
RESTAURANTE ENTRECOTE,Rionegro,Antioquia,Colombia, Restaurante,6.1494917,-75.3857455
Porko burger,Rionegro,Antioquia,Colombia, Restaurante,6.1313125,-75.3815625
Brasa Llanera,Rionegro,Antioquia,Colombia," Restaurante, Parrilla, Barbacoa",6.120409,-75.4291839
M&R Ricuras Venezolanas,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1286816,-75.379718
Matajo Burger,Rionegro,Antioquia,Colombia, Restaurante,6.1466924,-75.3531043
Pollos Llanogrande Al Carbón,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa",6.1260554,-75.4181127
Domino's Pizza,Rionegro,Antioquia,Colombia," Restaurante, Pizzería",6.1507711,-75.3908781
Supermercado Panorama,Rionegro,Antioquia,Colombia, Restaurante,6.103211,-75.425728
fior di latte helado y cafe,Rionegro,Antioquia,Colombia," Café, Cafetería",6.1487032,-75.3834999
Niko Parrilla Express,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1272395,-75.4164863
Juan del Alma,Rionegro,Antioquia,Colombia, Restaurante,6.164244,-75.4559124
